,Team,Games,Wins,Home,Home Wins,Away,Away Wins
Arizona Coyotes,Arizona Coyotes,10,5,1,0,9,5
Calgary Flames,Calgary Flames,10,5,0,0,10,5
Winnipeg Jets,Winnipeg Jets,10,6,2,1,8,5
Nashville Predators,Nashville Predators,10,3,4,1,6,2
Pittsburgh Penguins,Pittsburgh Penguins,11,6,6,5,5,1
Edmonton Oilers,Edmonton Oilers,11,4,3,1,8,3
New York Rangers,New York Rangers,11,2,3,0,8,2
Colorado Avalanche,Colorado Avalanche,11,5,4,4,7,1
Vancouver Canucks,Vancouver Canucks,11,4,2,1,9,3
Tampa Bay Lightning,Tampa Bay Lightning,11,7,0,0,11,7
Los Angeles Kings,Los Angeles Kings,12,6,2,2,10,4
Anaheim Ducks,Anaheim Ducks,12,5,3,1,9,4
Dallas Stars,Dallas Stars,12,5,3,1,9,4
New York Islanders,New York Islanders,13,11,6,5,7,6
Toronto Maple Leafs,Toronto Maple Leafs,13,6,5,3,8,3
Vegas Golden Knights,Vegas Golden Knights,13,5,3,2,10,3
Washington Capitals,Washington Capitals,13,5,3,2,10,3
Detroit Red Wings,Detroit Red Wings,13,4,4,1,9,3
New Jersey Devils,New Jersey Devils,14,4,4,2,10,2
Montr̩al Canadiens,Montr̩al Canadiens,14,5,6,2,8,3
St. Louis Blues,St. Louis Blues,14,5,5,1,9,4
Boston Bruins,Boston Bruins,14,9,3,3,11,6
San Jose Sharks,San Jose Sharks,14,7,3,1,11,6
Philadelphia Flyers,Philadelphia Flyers,14,6,1,0,13,6
Chicago Blackhawks,Chicago Blackhawks,14,5,7,2,7,3
Minnesota Wild,Minnesota Wild,15,6,6,3,9,3
Buffalo Sabres,Buffalo Sabres,16,6,6,2,10,4
Columbus Blue Jackets,Columbus Blue Jackets,16,7,7,3,9,4
Ottawa Senators,Ottawa Senators,16,4,8,1,8,3
Carolina Hurricanes,Carolina Hurricanes,17,12,8,7,9,5
Florida Panthers,Florida Panthers,17,8,9,4,8,4
